name,district_id,party,committees,salary,official_type
Heather Hadwick,1,REPUBLICAN,"2,
6,
7, 12,
19,",178500,ASSEMBLY_MEMBER
Chris Rogers,2,DEMOCRAT,"6,
8,
30, 
31,
32,",178500,ASSEMBLY_MEMBER
James Gallagher,3,REPUBLICAN,"6,
11,
14,
32,",178500,ASSEMBLY_MEMBER
Cecilia M Aguiar-Curry,4,DEMOCRAT,"2,
15,
30,",178500,ASSEMBLY_MEMBER
Joe Patterson,5,REPUBLICAN,"6,
15,
17,
25,
31,",178500,ASSEMBLY_MEMBER
Maggy Krell,6,DEMOCRAT,"3,
5,
8,
19,",178500,ASSEMBLY_MEMBER
Josh Hoover,7,REPUBLICAN,"3,
8,
10,
24,
25,
30,",178500,ASSEMBLY_MEMBER
David J. Tangipa ,8,REPUBLICAN,"3,
6,
16,
17,
18,
",178500,ASSEMBLY_MEMBER
Heath Flora,9,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Stephanie Nguyen,10,DEMOCRAT,"7,
14,
19,
26,
27,
",178500,ASSEMBLY_MEMBER
Lori D. Wilson,11,DEMOCRAT,"6,
17,
22,
25,
30,
",178500,ASSEMBLY_MEMBER
Damon Connolly,12,DEMOCRAT,"2,
6,
13,
20,
24,
",178500,ASSEMBLY_MEMBER
Rhodesia Ransom,13,DEMOCRAT,"2,
12,
22,
30,
",178500,ASSEMBLY_MEMBER
Buffy Wicks,14,DEMOCRAT,"3,
17,
24,
25,
",178500,ASSEMBLY_MEMBER
Anamarie Ávila Farías,15,DEMOCRAT,"1,
17,
19,
23,
32,
",178500,ASSEMBLY_MEMBER
Rebecca Bauer-Kahan,16,DEMOCRAT,"7,
13,
20,
25,
",178500,ASSEMBLY_MEMBER
Matt Haney,17,DEMOCRAT,"6,
7,
17,
24,
27,",178500,ASSEMBLY_MEMBER
Mia Bonta,18,DEMOCRAT,"6,
8,
10,
15,
",178500,ASSEMBLY_MEMBER
Catherine Stefani,19,DEMOCRAT,"6,
11,
15,
20,
22,",178500,ASSEMBLY_MEMBER
Liz Ortega,20,DEMOCRAT,"4,
6,
19,
21,
25,
",178500,ASSEMBLY_MEMBER
Diane Papan,21,DEMOCRAT,"13,
20,
30,
31,
32,
",178500,ASSEMBLY_MEMBER
Juan Alanis,22,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Marc Berman,23,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Alex Lee,24,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Ash Kalra,25,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Patrick J. Ahrens,26,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Esmeralda Z. Soria,27,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Gail Pellerin,28,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Robert Rivas,29,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Dawn Addis,30,DEMOCRAT,"6,
7,
15,
19,",178500,ASSEMBLY_MEMBER
Joaquin Arambula,31,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Stan Ellis,32,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Alexandra M. Macedo,33,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Tom Lackey,34,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Jasmeet Kaur Bains,35,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Jeff Gonzalez,36,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Gregg Hart,37,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Steve Bennet,38,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Juan Carrillo,39,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Pilar Schiavo,40,DEMOCRAT,,178500,ASSEMBLY_MEMBER
John Harabedian,41,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Irwin Jacqui,42,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Rodriguez Celeste,43,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Nick Schultz,44,DEMOCRAT,,178500,ASSEMBLY_MEMBER
James C. Ramos,45,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Jesse Gabriel,46,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Greg Wallis,47,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Blanca E. Rubio,48,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Mike Fong,49,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Robert Garcia,50,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Rick Chavez Zbur,51,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Jessica M. Caloza,52,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Michelle Rodriguez,53,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Mark González,54,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Isaac G Bryan,55,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Lisa Calderon,56,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Sade Elhawary,57,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Leticia Castillo,58,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Phillip Chen,59,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Corey A. Jackson,60,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Tina S. McKinnor,61,DEMOCRAT,,178500,ASSEMBLY_MEMBER
José Luis Solache Jr.,62,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Natasha Johnson,63,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Blanca Pacheco,64,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Mike A. Gipson,65,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Al Muratsuchi,66,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Sharon Quirk-Silva,67,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Avelino Valencia,68,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Josh Lowenthal,69,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Tri Ta,70,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Kate Sanchez,71,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Diane B. Dixon,72,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Cottie Petrie-Norris,73,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Laurie Davies,74,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Carl DeMaio,75,REPUBLICAN,,178500,ASSEMBLY_MEMBER
Darshana R. Patel,76,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Tasha Boerner,77,DEMOCRAT,,178500,ASSEMBLY_MEMBER
Christopher M. Ward,78,DEMOCRAT,,178500,ASSEMBLY_MEMBER
LaShae Sharp-Collins,79,DEMOCRAT,,178500,ASSEMBLY_MEMBER
David A. Alvarez,80,DEMOCRAT,,178500,ASSEMBLY_MEMBER